words,2019/11/1,2019/10/1,2019/9/1,2019/8/1,2019/7/1,2019/6/1,2019/5/1,2019/4/1,2019/3/1,2019/2/1,2019/1/1,2018/12/1,2018/11/1,2018/10/1,2018/9/1,2018/8/1,2018/7/1,2018/6/1,2018/5/1,2018/4/1,2018/3/1,2018/2/1,2018/1/1,2017/12/1,2017/11/1,2017/10/1,2017/9/1,2017/8/1,2017/7/1,2017/6/1,2017/5/1,2017/4/1,2017/3/1,2017/2/1,2017/1/1,2016/12/1,2016/11/1,2016/10/1,2016/9/1,2016/8/1,2016/7/1,2016/6/1,2016/5/1,2016/4/1,2016/3/1,2016/2/1,2016/1/1,2015/12/1,2015/11/1,2015/10/1,2015/9/1,2015/8/1,2015/7/1,2015/6/1,2015/5/1,2015/4/1,2015/3/1,2015/2/1,2015/1/1,2014/12/1,2014/11/1,2014/10/1,2014/9/1,2014/8/1,2014/7/1,2014/6/1,2014/5/1,2014/4/1,2014/3/1,2014/2/1,2014/1/1,2013/12/1,2013/11/1,2013/10/1,2013/9/1,2013/8/1,2013/7/1,2013/6/1,2013/5/1,2013/4/1,2013/3/1,2013/2/1,2013/1/1,2012/12/1,2012/11/1,2012/10/1,2012/9/1,2012/8/1,2012/7/1,2012/6/1,2012/5/1,2012/4/1,2012/3/1,2012/2/1,2012/1/1,2011/12/1,2011/11/1,2011/10/1,2011/9/1,2011/8/1,2011/7/1,2011/6/1,2011/5/1,2011/4/1,2011/3/1,2011/2/1,2011/1/1,2010/12/1,2010/11/1,2010/10/1,2010/9/1,2010/8/1,2010/7/1,2010/6/1,2010/5/1,2010/4/1,2010/3/1,2010/2/1,2010/1/1,2009/12/1,2009/11/1,2009/10/1,2009/9/1,2009/8/1,2009/7/1,2009/6/1,2009/5/1,2009/4/1,2009/3/1,2009/2/1,2009/1/1,2008/12/1,2008/11/1,2008/10/1,2008/9/1,2008/8/1,2008/7/1,2008/6/1,2008/5/1,2008/4/1,2008/3/1,2008/2/1,2008/1/1,2007/12/1,2007/11/1,2007/10/1,2007/9/1,2007/8/1,2007/7/1,2007/6/1,2007/5/1,2007/4/1,2007/3/1,2007/2/1,2007/1/1
"('kardashian',)",11.64144,3.885,0,0,0,0,0,2.78552,0,0,0,0,0,0,0,0,0,3.00481,0,0,0,0,0,0,3.08928,3.14762,0,0,0,0,0,0,0,0,0,0,0,3.50631,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9554,0,0,0,0,0,0,0,0,4.86381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('midday',)",7.76096,3.885,5.42741,8.21918,5.76535,5.33049,13.65374,2.78552,11.03448,10.63264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86381,5.20021,4.71476,5.32765,5.15996,0,0,0,5.02008,0,9.80392,0,0,4.68604,0,0,0,0,0,0,4.93827,0,0,10.14199,6.03865,11.45475,0,0,0,6.11995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.21001,0,0,0,0,5.93824,0,0,0,0,0,0,0,0,0,0,0,0,13.80262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('usa',)",3.88048,3.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14762,0,0,0,0,0,0,3.22789,0,0,0,0,3.50631,0,0,4.06669,0,0,0,0,0,0,0,0,0,4.78011,0,0,0,0,0,0,0,0,5.08388,0,0,0,5.32765,0,0,0,0,0,0,0,5.04541,0,0,0,0,9.80392,10.68947,0,0,0,0,0,0,0,0,0,0,0,0,5.62114,0,0,0,0,0,5.44662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06061,6.52316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('become',)",23.28289,27.19503,2.7137,8.21918,14.41338,15.99147,19.11524,5.57103,19.31034,13.2908,8.18107,14.05284,13.6612,19.07877,21.36182,14.05679,16.95394,9.01442,2.88434,20.12651,14.45922,8.57143,12.04094,30.59976,12.35712,18.88574,9.2908,25.51834,18.79699,15.82278,16.20746,9.41029,12.91156,13.03356,13.75043,16.78979,3.48797,14.02525,18.88218,3.99042,8.13339,12.90878,4.39947,14.74201,0,9.36768,9.7704,4.78698,14.91795,10.22495,4.78011,0,0,15.30612,10.2145,9.86193,9.75134,9.68523,5.02765,5.08388,29.18288,20.80083,4.71476,10.6553,10.31992,15.50388,20.69322,10.15228,15.06024,14.74926,0,35.31786,5.35619,0,4.91159,14.98501,9.80392,16.03421,0,19.20307,9.87654,5.04032,5.11247,5.07099,6.03865,11.45475,6.00962,11.6144,0,0,0,17.91045,0,0,12.29256,11.12347,0,11.77856,6.10874,5.81395,35.73556,6.09756,12.61034,6.25,10.86957,5.62746,6.18429,18.30384,6.01323,6.38978,6.61376,0,0,5.96659,0,14.39885,0,6.10501,0,12.21001,0,7.02741,5.93824,0,7.11744,0,0,0,6.44745,0,7.30994,0,6.16143,0,6.49773,6.90131,0,14.14427,13.75516,14.03509,6.82128,7.16332,0,0,0,0,7.58725,6.84463,7.07214,0,18.96334,13.18392,0,0,6.09013
"('cities',)",15.52192,15.54002,2.7137,5.47945,2.88268,7.99574,16.38449,8.35655,0,2.65816,5.45405,5.62114,8.19672,10.90215,8.01068,8.43407,0,3.00481,2.88434,2.87522,0,0,9.0307,3.05998,6.17856,6.29525,6.19387,0,3.13283,9.49367,9.72447,3.13676,6.45578,0,3.43761,0,3.48797,3.50631,3.77644,0,4.06669,0,0,0,4.98753,0,9.7704,0,4.97265,0,0,0,0,5.10204,0,4.93097,0,0,0,0,0,0,4.71476,0,5.15996,5.16796,10.34661,5.07614,0,4.91642,0,5.04541,10.71237,0,9.82318,0,0,5.34474,0,9.60154,4.93827,5.04032,0,0,6.03865,5.72738,6.00962,0,0,6.11995,0,0,0,0,0,0,0,0,0,5.81395,0,0,6.30517,0,5.43478,0,0,0,0,0,0,6.06061,6.52316,0,0,0,5.94884,0,0,0,0,0,0,0,0,0,0,0,6.44745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('heres',)",50.44626,27.19503,27.13704,41.09589,37.47478,47.97441,35.49973,36.2117,33.10345,39.87241,57.26752,59.02192,49.18033,32.70646,42.72363,59.03852,39.5592,39.0625,25.95904,23.00173,31.81029,14.28571,30.10235,30.59976,21.62496,15.73812,30.96934,28.70813,34.46115,41.13924,12.96596,34.50439,19.36733,9.77517,13.75043,26.86367,31.3917,14.02525,22.65861,15.96169,8.13339,47.33219,8.79894,39.31204,9.97506,18.73536,24.42599,4.78698,0,0,14.34034,9.9108,10.03512,15.30612,10.2145,14.7929,24.37835,24.21308,25.13826,5.08388,9.72763,5.20021,9.42951,5.32765,5.15996,10.33592,10.34661,5.07614,0,9.83284,9.80392,30.27245,5.35619,23.43018,4.91159,14.98501,24.5098,5.34474,10.17812,0,4.93827,0,5.11247,10.14199,6.03865,5.72738,0,5.8072,0,6.11995,5.62114,0,12.20256,0,0,11.12347,10.89325,11.77856,6.10874,0,5.95593,0,0,12.5,0,0,6.18429,0,0,6.38978,0,6.06061,0,0,0,0,5.94884,0,0,0,0,7.02741,0,0,0,6.59196,0,6.2422,0,6.36943,0,0,12.32286,7.08215,0,13.80262,7.16846,0,20.63274,7.01754,0,0,0,0,8.09717,21.17149,7.58725,6.84463,0,0,0,0,0,6.73401,0
"('much',)",23.28289,31.08003,29.85075,38.35616,34.5921,42.64392,32.76898,41.78273,13.7931,18.60712,16.36215,16.86341,19.12568,24.52984,34.71295,22.49086,28.25657,24.03846,17.30603,20.12651,23.13476,20,12.04094,18.35985,12.35712,9.44287,27.87241,15.94896,28.19549,18.98734,6.48298,9.41029,19.36733,3.25839,6.87521,6.71592,6.97593,17.53156,15.10574,7.98085,8.13339,17.2117,17.59789,4.914,4.98753,0,9.7704,0,14.91795,35.78732,14.34034,4.9554,5.01756,10.20408,15.32176,0,0,4.84262,10.0553,10.16777,4.86381,10.40042,4.71476,0,20.63983,10.33592,5.17331,5.07614,5.02008,4.91642,0,10.09082,5.35619,0,4.91159,0,9.80392,10.68947,5.08906,9.60154,0,5.04032,0,5.07099,6.03865,11.45475,0,0,17.34104,0,0,11.9403,12.20256,10.97695,6.14628,22.24694,21.78649,5.88928,12.21747,17.44186,5.95593,0,25.22068,6.25,0,11.25492,18.55288,0,0,0,33.06878,6.06061,13.04631,5.96659,0,14.39885,17.84652,0,0,0,0,0,5.93824,7.31529,0,0,0,6.2422,6.44745,12.73885,7.30994,6.21504,12.32286,14.16431,12.99545,6.90131,21.50538,0,0,0,0,0,7.07714,8.4317,0,14.11433,7.58725,20.53388,0,0,0,13.18392,0,6.73401,6.09013
"('happen',)",11.64144,31.08003,5.42741,5.47945,5.76535,2.66525,2.73075,5.57103,0,2.65816,5.45405,2.81057,5.46448,5.45108,2.67023,2.81136,2.82566,6.00962,0,11.50086,8.67553,0,0,3.05998,6.17856,3.14762,6.19387,9.56938,3.13283,3.16456,3.24149,9.41029,6.45578,6.51678,0,6.71592,0,3.50631,7.55287,7.98085,8.13339,0,4.39947,0,4.98753,4.68384,9.7704,4.78698,0,5.11247,4.78011,4.9554,5.01756,10.20408,0,4.93097,9.75134,9.68523,5.02765,0,9.72763,0,4.71476,0,10.31992,0,0,0,5.02008,4.91642,0,5.04541,0,4.68604,0,0,9.80392,5.34474,5.08906,9.60154,0,0,5.11247,0,12.07729,5.72738,0,0,11.56069,0,5.62114,0,0,0,6.14628,11.12347,10.89325,5.88928,6.10874,0,0,6.09756,6.30517,12.5,5.43478,0,12.36858,0,0,0,0,0,0,5.96659,0,0,0,0,0,0,0,0,0,0,0,0,6.33312,6.2422,0,6.36943,0,6.21504,0,14.16431,0,6.90131,0,14.14427,0,0,0,0,0,0,0,14.11433,0,0,7.07214,0,0,0,6.31712,0,6.09013
"('kong',)",31.04385,19.42502,2.7137,13.69863,5.76535,15.99147,0,0,0,0,0,0,2.73224,0,0,0,2.82566,0,2.88434,0,0,5.71429,0,0,0,0,3.09693,3.18979,3.13283,3.16456,0,3.13676,6.45578,0,0,3.35796,6.97593,0,3.77644,0,0,0,0,0,4.98753,9.36768,0,0,0,5.11247,0,0,0,0,0,14.7929,0,19.37046,5.02765,15.25165,4.86381,31.20125,9.42951,0,10.31992,5.16796,0,0,0,0,0,0,16.06856,4.68604,0,0,4.90196,16.03421,15.26718,4.80077,0,0,5.11247,0,6.03865,0,6.00962,0,5.78035,0,0,0,0,10.97695,0,0,0,5.88928,12.21747,0,0,0,0,0,0,0,6.18429,6.10128,0,6.38978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16332,0,0,8.09717,14.11433,0,0,0,0,0,0,0,0,0
"('protest',)",15.52192,11.65501,2.7137,10.9589,0,7.99574,0,0,0,0,0,2.81057,0,0,0,0,2.82566,0,0,0,0,0,12.04094,3.05998,3.08928,6.29525,3.09693,9.56938,6.26566,3.16456,0,0,3.22789,9.77517,0,3.35796,3.48797,0,0,0,4.06669,0,0,4.914,4.98753,0,4.8852,4.78698,4.97265,0,0,0,5.01756,0,10.2145,0,0,4.84262,0,5.08388,0,15.60062,0,5.32765,0,0,10.34661,0,5.02008,4.91642,19.60784,5.04541,0,0,4.91159,0,9.80392,10.68947,5.08906,0,4.93827,0,0,5.07099,0,5.72738,0,0,5.78035,6.11995,0,11.9403,0,5.48847,6.14628,0,0,17.66784,0,0,0,0,0,0,5.43478,16.88239,0,0,0,6.38978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65779,0,0,0,6.73401,0
